name,x,y,mv_grid_id,lv_grid_id,v_nom,in_building,control,generator
Busbar_mvgd_40_MV,4280932.702345714,2729162.4726249906,40,,10.0,False,Slack,MV_40_slack
BusBar_mvgd_40_lvgd_2128000000_MV,4284444.248370417,2725229.779617371,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2292000000_MV,4282500.164563044,2732839.811627651,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2383000000_MV,4284286.281781233,2735471.400605071,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2520000000_MV,4282733.474192327,2737131.6011299393,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2521000000_MV,4283086.991522821,2737054.0242023324,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2561000000_MV,4284755.972323539,2734952.553246158,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2608000000_MV,4284661.375323264,2735482.500798008,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2633000000_MV,4286079.658048095,2735297.530969002,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2705000000_MV,4285089.409190522,2735469.081807633,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2728000000_MV,4282966.750572503,2735525.7971678227,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2763000000_MV,4285666.094446443,2735664.963962786,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2765000000_MV,4280756.819957199,2736142.2256613825,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2765000001_MV,4282202.641864394,2736521.210716682,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2765000002_MV,4281642.814508786,2736056.561660475,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2840000000_MV,4279225.199844451,2736286.4734600266,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2842000000_MV,4279591.974002737,2736292.1041218885,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3029000000_MV,4280513.900377715,2733825.92595074,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3029000001_MV,4281217.216454385,2734714.0238087643,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3029000002_MV,4280773.346352993,2734758.635773429,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3029000003_MV,4281333.197849601,2734983.215581647,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3088000000_MV,4283482.523501317,2733973.748322513,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3119000000_MV,4283900.346434705,2733614.6385492985,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3160000000_MV,4282585.526691444,2733862.6379049188,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3235000000_MV,4279716.095591585,2734038.7368888683,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3277000000_MV,4285177.369804546,2734233.383249873,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3304000000_MV,4284229.189508331,2734968.32854517,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3305000000_MV,4284564.392079372,2734341.8061152166,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3307000000_MV,4283948.331611022,2734359.205207528,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3311000000_MV,4285780.712705235,2734323.0587630803,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3314000000_MV,4285877.01909249,2734827.807478776,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3403000000_MV,4283846.539907616,2734728.7127416288,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3413000000_MV,4282791.734790972,2734763.272077144,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3645000000_MV,4282031.219030425,2737136.3759479253,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3661000000_MV,4280887.210377494,2737282.960385314,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3731000000_MV,4280270.590262623,2737423.76352497,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3780000000_MV,4283396.631235019,2737764.24691875,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3805000000_MV,4280915.512732173,2737968.9301754534,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3911000000_MV,4280051.1983365035,2738178.904288627,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3986000000_MV,4281823.069370221,2738457.684164452,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3987000000_MV,4282115.285249313,2738580.8405506182,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3992000000_MV,4281183.437279804,2738504.2742977324,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4337000000_MV,4275951.9781775065,2728569.5165037466,40,,10.0,False,PQ,
BusBar_lac_4347,4281280.871795216,2727599.4508277266,40,4347.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_4487000000_MV,4275786.719784707,2731827.15586502,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4488000000_MV,4275955.47064863,2731157.458740745,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4488000001_MV,4276268.45585493,2730646.9062710535,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4488000002_MV,4277021.745650292,2730627.0826284993,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4488000003_MV,4277161.3261918435,2730960.4804583406,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4488000004_MV,4276884.246460809,2729937.2376655545,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4544000000_MV,4279332.304431275,2728120.301584543,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4544000001_MV,4279240.164388824,2728310.025094152,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4545000000_MV,4279646.025728227,2728608.8637576085,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4546000000_MV,4278004.640996861,2729158.7005905565,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4547000000_MV,4277867.712697727,2729451.345484395,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4548000000_MV,4280408.3194777,2728901.273769004,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4549000000_MV,4280624.125438332,2729030.565130864,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4550000000_MV,4280153.548101833,2730506.6559072263,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4620000000_MV,4283970.927618732,2732447.732947606,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4621000000_MV,4284812.129760946,2732884.785619163,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4621000001_MV,4284360.205832604,2732671.2668523346,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4621000002_MV,4285036.511808665,2732349.6385051818,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4622000000_MV,4284439.77462161,2733792.096729491,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4674000000_MV,4279954.049264643,2729457.5846131807,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4764000000_MV,4275310.264209952,2730474.0101922075,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4830000000_MV,4283505.406262764,2730097.6009949995,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4831000000_MV,4283793.092937837,2730263.010523249,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4840000000_MV,4279264.542942128,2730306.502818265,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4855000000_MV,4279855.12245551,2730195.2709592,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_4918000000_MV,4277890.318652003,2730801.9231908317,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5227000000_MV,4284027.205651232,2729254.005635229,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5227000001_MV,4283951.64482056,2729478.042456485,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5305000000_MV,4284549.491455511,2730824.830614132,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5371000000_MV,4279130.943307185,2731345.0084507093,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5371000001_MV,4279176.71891948,2731677.964203871,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5372000000_MV,4279366.005752363,2732117.9400596227,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5404000000_MV,4280492.164637265,2731257.6920991535,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5511000000_MV,4283894.218411498,2731799.058780189,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5525000000_MV,4280006.536609703,2731734.951431573,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5529000000_MV,4281179.000211202,2732089.7497702306,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5536000000_MV,4283359.584333631,2731775.1084726835,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_5583000000_MV,4281768.289609757,2732021.4423015323,40,,10.0,False,PQ,
